collection_name,token_id,date,trades
CrypToadz,109,10/3/21,2
Doodles,109,10/18/21,2
CloneX,109,12/23/21,2
Mutant Ape Yacht Club,109,1/13/22,2
Cool Cats,110,8/28/21,2
CrypToadz,110,9/27/21,2
Cool Cats,110,10/20/21,2
Cool Cats,110,11/16/21,2
CrypToadz,110,11/18/21,2
Bored Ape Kennel Club,110,11/29/21,2
CloneX,110,12/13/21,3
Mutant Ape Yacht Club,111,8/30/21,2
Loot,111,9/3/21,2
Bored Ape Kennel Club,111,11/29/21,2
Cool Cats,112,7/20/21,2
Doodles,112,12/1/21,2
Doodles,112,1/12/22,2
Doodles,112,3/4/22,2
Cryptopunks,112,3/17/22,2
Bored Ape Yacht Club,112,3/28/22,2
Mutant Ape Yacht Club,113,8/29/21,2
dotdotdots,114,8/31/21,2
Mutant Ape Yacht Club,114,9/2/21,2
Mutant Ape Yacht Club,114,9/22/21,2
Mutant Ape Yacht Club,114,10/21/21,2
Bored Ape Kennel Club,114,10/30/21,3
CloneX,114,12/31/21,3
CrypToadz,114,2/8/22,2
Cool Cats,114,2/20/22,2
Mutant Ape Yacht Club,115,8/29/21,3
CloneX,115,12/13/21,2
CloneX,116,12/12/21,3
CloneX,116,3/5/22,2
Meebits,117,5/3/21,2
Mutant Ape Yacht Club,117,8/29/21,2
Bored Ape Kennel Club,117,8/31/21,2
Bored Ape Yacht Club,117,10/4/21,2
Cool Cats,117,1/2/22,2
Bored Ape Yacht Club,117,1/14/22,2
Bored Ape Yacht Club,117,2/20/22,2
Cryptopunks,117,3/17/22,3
Bored Ape Kennel Club,118,8/23/21,2
Bored Ape Kennel Club,118,9/1/21,3
Bored Ape Yacht Club,118,12/8/21,2
Bored Ape Kennel Club,118,12/20/21,2
Mutant Ape Yacht Club,118,1/29/22,2
Meebits,119,5/4/21,2
dotdotdots,119,8/31/21,2
World of Women,120,8/27/21,2
Mutant Ape Yacht Club,120,8/29/21,2
World of Women,120,8/30/21,2
CrypToadz,120,12/15/21,2
Mutant Ape Yacht Club,121,8/29/21,2
Cool Cats,122,8/4/21,2
Bored Ape Yacht Club,122,8/21/21,3
dotdotdots,122,8/31/21,2
Mutant Ape Yacht Club,122,10/17/21,2
Bored Ape Yacht Club,122,11/17/21,2
Terraform,122,1/11/22,2
World of Women,122,3/27/22,2
Bored Ape Yacht Club,123,6/8/21,2
Bored Ape Kennel Club,123,7/13/21,2
Mutant Ape Yacht Club,123,12/17/21,2
Mutant Ape Yacht Club,123,12/18/21,2
Mutant Ape Yacht Club,123,3/18/22,2
Meebits,124,5/4/21,2
World of Women,124,8/27/21,2
dotdotdots,124,8/31/21,2
Loot,124,12/6/21,3
World of Women,124,1/8/22,2
dotdotdots,124,1/13/22,2
CrypToadz,124,1/28/22,3
CrypToadz,124,1/29/22,2
Doodles,124,2/24/22,2
Doodles,124,3/14/22,2
Bored Ape Kennel Club,124,3/17/22,2
Meebits,125,8/6/21,2
Bored Ape Kennel Club,125,9/23/21,2
Mutant Ape Yacht Club,125,1/12/22,2
Doodles,125,3/2/22,2
Bored Ape Kennel Club,125,3/14/22,2
CrypToadz,125,3/17/22,2
Bored Ape Kennel Club,125,3/18/22,4
Bored Ape Kennel Club,126,7/19/21,2
Mutant Ape Yacht Club,126,10/23/21,12
CrypToadz,126,11/15/21,2
Mutant Ape Yacht Club,126,1/19/22,2
Bored Ape Yacht Club,127,5/3/21,2
Cool Cats,127,8/29/21,3
Bored Ape Yacht Club,127,10/22/21,2
Bored Ape Kennel Club,127,12/15/21,2
Bored Ape Kennel Club,127,1/4/22,2
Bored Ape Kennel Club,127,3/3/22,2
Bored Ape Kennel Club,127,3/27/22,2
Bored Ape Yacht Club,128,8/21/21,2
Bored Ape Yacht Club,128,8/27/21,3
Bored Ape Kennel Club,128,8/31/21,2
Mutant Ape Yacht Club,128,3/17/22,3
Bored Ape Kennel Club,129,7/17/21,2
Cool Cats,129,10/9/21,2
Cool Cats,129,12/15/21,2
Doodles,129,1/5/22,2
CloneX,129,1/31/22,3
Cool Cats,130,8/24/21,4
Bored Ape Kennel Club,130,8/26/21,3
Mutant Ape Yacht Club,130,1/13/22,2
Cool Cats,130,3/22/22,3
World of Women,131,1/3/22,2
Bored Ape Yacht Club,132,5/2/21,2
Bored Ape Kennel Club,132,6/19/21,2
Cool Cats,132,7/12/21,2
Mutant Ape Yacht Club,132,8/29/21,2
dotdotdots,132,8/31/21,2
Cool Cats,132,11/24/21,2
Cool Cats,132,1/3/22,4
Cool Cats,132,1/5/22,2
Cool Cats,132,1/20/22,2
Cool Cats,132,3/10/22,2
Meebits,133,5/3/21,2
Bored Ape Kennel Club,133,8/15/21,2
Bored Ape Kennel Club,133,8/27/21,3
Mutant Ape Yacht Club,133,8/29/21,2
